"object_id","esquema","nome","tipo","pasta","tabela_pai","create_date","modify_date","linhas","caracteres","escreve","verbos_escrita","alvos_escrita","chama_proc","qtd_refs","tabelas_ref","outras_ref"
"667305587","dbo","IV$PG_AMS_TOTVS","VIEW","views","","2022-08-12 08:46:25","2022-08-12 08:46:25","1","397","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"61399438","dbo","IV$PG_ANO","VIEW","views","","2024-08-29 15:14:13","2024-08-29 15:14:13","1","414","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"688161647","dbo","IV$PG_AUDITORIA","VIEW","views","","2019-08-14 20:11:28","2019-08-14 20:11:28","1","509","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"256160108","dbo","IV$PG_CAMPANHA_DE_INCENTIV","VIEW","views","","2019-07-03 17:14:33","2019-07-03 17:14:33","1","536","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"875220","dbo","IV$PG_CLASSE_RESULTADO","VIEW","views","","2023-10-09 10:20:31","2023-10-09 10:20:31","1","465","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"683305644","dbo","IV$PG_COLHEDORA_CANA_TOTVS","VIEW","views","","2022-08-12 08:47:27","2022-08-12 08:47:27","1","408","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1957074208","dbo","IV$PG_COLHEDORA_DE_CANA","VIEW","views","","2025-07-21 10:04:39","2025-07-21 10:04:39","1","531","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1781073581","dbo","IV$PG_COLHEITADEIRA_ANO","VIEW","views","","2025-07-17 11:19:20","2025-07-17 11:19:20","1","428","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1749073467","dbo","IV$PG_COLHEITADEIRA_GRAOS","VIEW","views","","2025-07-17 08:41:24","2025-07-17 08:41:24","1","614","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"699305701","dbo","IV$PG_COLHEITADEIRA_TOTVS","VIEW","views","","2022-08-12 08:48:11","2022-08-12 08:48:11","1","407","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1681493119","dbo","IV$PG_CONSORCIO","VIEW","views","","2016-04-13 11:09:49","2016-04-13 11:09:49","1","467","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1861073866","dbo","IV$PG_CULTURA","VIEW","views","","2025-07-17 15:58:18","2025-07-17 15:58:18","1","422","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1246067625","dbo","IV$PG_EQUIPAMENTOS","VIEW","views","","2018-03-20 09:45:29","2018-03-20 09:45:29","1","546","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"2027310432","dbo","IV$PG_FAMILIA_DEPTOS","VIEW","views","","2023-02-01 15:43:45","2023-02-01 15:43:45","1","474","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"123967618","dbo","IV$PG_FENO_E_FORRAGEM","VIEW","views","","2017-02-03 17:26:12","2017-02-03 17:26:12","1","510","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"801489984","dbo","IV$PG_GREEN_SYSTEM","VIEW","views","","2016-01-29 08:48:38","2016-03-22 19:20:05","1","432","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1931310090","dbo","IV$PG_GRUPO_REGIONAL","VIEW","views","","2023-01-27 10:28:18","2023-01-27 10:28:18","1","516","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"913490383","dbo","IV$PG_IMP_GREEN_SYSTEM","VIEW","views","","2016-02-05 09:32:00","2016-03-22 19:20:05","1","436","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1532688658","dbo","IV$PG_IMPLEMENTOS","VIEW","views","","2020-05-17 16:36:19","2020-05-17 16:36:19","1","587","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"651305530","dbo","IV$PG_IMPLEMENTOS_TOTVS","VIEW","views","","2022-08-12 08:44:00","2022-08-12 08:44:00","1","405","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1387204042","dbo","IV$PG_INST_FINANCEIRA","VIEW","views","","2013-12-10 08:16:16","2016-03-22 19:20:05","1","485","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"158115804","dbo","IV$PG_INTEGRACAO_FAMILIA","VIEW","views","","2025-10-29 11:57:51","2025-10-29 11:57:51","1","482","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
