"tabela","existe","linhas","colunas","colunas_omitidas","arquivo"
"GE_PolSeg","True","11","3","","catalogos-bpm/GE_PolSeg.csv"
"GE_PolSegItem","True","108","7","","catalogos-bpm/GE_PolSegItem.csv"
"GE_PolSegItLst","True","66","6","","catalogos-bpm/GE_PolSegItLst.csv"
"GE_PolSegAces","True","3","7","","catalogos-bpm/GE_PolSegAces.csv"
"GE_PolSegCtrl","True","254","7","","catalogos-bpm/GE_PolSegCtrl.csv"
"GE_POLSEGPERM","True","818","5","","catalogos-bpm/GE_POLSEGPERM.csv"
"GE_PolSegParams","True","1","7","","catalogos-bpm/GE_PolSegParams.csv"
"GE_Permissao","True","302","11","","catalogos-bpm/GE_Permissao.csv"
"GE_CampoPerm","True","17","7","","catalogos-bpm/GE_CampoPerm.csv"
"GE_CampoExig","True","0","7","","catalogos-bpm/GE_CampoExig.csv"
"GE_Tab","True","12","2","","catalogos-bpm/GE_Tab.csv"
"GE_Col","True","217","6","","catalogos-bpm/GE_Col.csv"
"GE_Alias","True","1413","9","","catalogos-bpm/GE_Alias.csv"
"GE_AtributoFixo","True","183","9","","catalogos-bpm/GE_AtributoFixo.csv"
"GE_Sequencia","True","77","2","","catalogos-bpm/GE_Sequencia.csv"
"GE_Empresa","True","18","33","","catalogos-bpm/GE_Empresa.csv"
"GE_ParametroGlobal","True","239","8","","catalogos-bpm/GE_ParametroGlobal.csv"
"GE_ParamLista","True","405","25","","catalogos-bpm/GE_ParamLista.csv"
"GE_SyncParam","True","635","10","","catalogos-bpm/GE_SyncParam.csv"
"GE_ObjDinamico","True","196","28","Senha","catalogos-bpm/GE_ObjDinamico.csv"
"GE_ObjDinAplic","True","124","4","","catalogos-bpm/GE_ObjDinAplic.csv"
"GE_Consulta","True","2","28","Senha","catalogos-bpm/GE_Consulta.csv"
"GE_ConsultaVar","True","3","10","","catalogos-bpm/GE_ConsultaVar.csv"
"GE_CONSSQL","True","1","10","","catalogos-bpm/GE_CONSSQL.csv"
"GE_QVCons","True","134","28","","catalogos-bpm/GE_QVCons.csv"
"GE_QVConsCol","True","40","8","","catalogos-bpm/GE_QVConsCol.csv"
"GE_QVConsVar","True","581","17","","catalogos-bpm/GE_QVConsVar.csv"
"GE_QVPasta","True","28","4","","catalogos-bpm/GE_QVPasta.csv"
"GE_QVPastaCons","True","114","2","","catalogos-bpm/GE_QVPastaCons.csv"
"GE_QVRegra","True","234","7","","catalogos-bpm/GE_QVRegra.csv"
"GEP_JOBCAD","True","71","11","","catalogos-bpm/GEP_JOBCAD.csv"
"GEP_JOBAGD","True","25","18","","catalogos-bpm/GEP_JOBAGD.csv"
"GEP_JOBFILA","True","25","16","","catalogos-bpm/GEP_JOBFILA.csv"
"GEP_JobMonitor","True","2","10","","catalogos-bpm/GEP_JobMonitor.csv"
"GEP_JOBNOTIFICAR","True","0","14","","catalogos-bpm/GEP_JOBNOTIFICAR.csv"
"GEP_Notificar","True","0","8","","catalogos-bpm/GEP_Notificar.csv"
"GEP_Fila","True","81","18","","catalogos-bpm/GEP_Fila.csv"
"GEP_Processo","True","8","20","","catalogos-bpm/GEP_Processo.csv"
"GEP_ProcControle","True","0","5","","catalogos-bpm/GEP_ProcControle.csv"
"GEP_ParEnvia","True","3","7","","catalogos-bpm/GEP_ParEnvia.csv"
"GEP_ParRecebe","True","14","12","","catalogos-bpm/GEP_ParRecebe.csv"
"GEP_ParRecEnvia","True","0","2","","catalogos-bpm/GEP_ParRecEnvia.csv"
"GEP_UsrSat","True","71","16","","catalogos-bpm/GEP_UsrSat.csv"
"GEP_IMPORT_GUI","True","52","15","","catalogos-bpm/GEP_IMPORT_GUI.csv"
