"objeto","tipo","situacao","chars_prod","chars_homo"
"X_TOTVS_ATUA_BI_FATURAMENTO_POS_VENDAS","SQL_STORED_PROCEDURE","so em PRODUCAO","10425",""
"X_TOTVS_ATUA_BI_FATURAMENTO_POS_VENDAS_N","SQL_STORED_PROCEDURE","so em PRODUCAO","6232",""
"X_TOTVS_ATUA_CRM_FATURAMENTO","SQL_STORED_PROCEDURE","so em PRODUCAO","31062",""
"X_TOTVS_ATUALIZA_BI_FATURAMENTO_MAQUINAS","SQL_STORED_PROCEDURE","so em PRODUCAO","3419",""
"X_V_BI_DESPESAS_VENDA_MAQUINAS","VIEW","TEXTO DIFERENTE","27300","0"
"X_V_CRM_IMP_IMP_NFS","VIEW","TEXTO DIFERENTE","5296","0"
"X_V_CRM_IMP_NFSItem","VIEW","TEXTO DIFERENTE","4141","0"
"ZZ_IV$NFITEM","VIEW","TEXTO DIFERENTE","578","0"
"ZZ_IV$NFSAIDA","VIEW","TEXTO DIFERENTE","758","0"
"ZZ_IV$NFSCMPL","VIEW","TEXTO DIFERENTE","286","0"
"ZZ_IV$OrdemServico","VIEW","TEXTO DIFERENTE","1470","0"
"ZZ_IV$OSItem","VIEW","TEXTO DIFERENTE","434","0"
"ZZ_IV$OSSolicitacao","VIEW","TEXTO DIFERENTE","332","0"
"IV$AGENDAECIENCIA","VIEW","so em HOMOLOGACAO","","0"
"IV$DADOS_PESSOALINK","VIEW","so em HOMOLOGACAO","","0"
"vrtc_f_ObterScriptsPKFK","SQL_INLINE_TABLE_VALUED_FUNCTION","so em HOMOLOGACAO","","0"
