"fk_id","fk_nome","parent_object_id","tabela_origem","tabela_ref","acao_exclusao","acao_atualizacao","is_disabled","is_not_trusted"
"1489544490","FK__IV_Q_COMI__SEQQU__58C8A52A","1457544376","IV_Q_COMISSAO_SERV_AMS","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1491588452","FK__IVS_UsrMe__CodPr__58E7D564","1947153982","IVS_UsrMeta","IV_CodProcesso","CASCADE","NO_ACTION","False","False"
"1493072555","FK__IV_Q_VEND__SEQQU__58FE7AAB","1461072441","IV_Q_VENDA_PERDIDA_FY25","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1499972520","FK__GEP_JOBAG__SEQJO__5967C3A8","521820971","GEP_JOBAGD","GEP_JOBCAD","CASCADE","NO_ACTION","False","False"
"1500636489","FK__IV_ResMsg__SeqTx__5971E549","539148966","IV_ResMsgPapel","IV_TxtPadrao","NO_ACTION","NO_ACTION","False","False"
"1506976595","FK__IV_Q_VEND__SEQQU__59D2A353","1474976481","IV_Q_VENDA_MAQUINA_FY25","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1507588509","FK__IVS_UsrMe__SeqUs__59DBF99D","1947153982","IVS_UsrMeta","GE_Usuario","CASCADE","NO_ACTION","False","False"
"1516636546","FK__IV_ResMsg__Resul__5A660982","539148966","IV_ResMsgPapel","IV_Resultado","NO_ACTION","NO_ACTION","False","False"
"1521596659","FK__IV_Q_VP_C__SEQQU__5AB1B8F3","1489596545","IV_Q_VP_COLHEDORA","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1527064576","FK__IV_Client__SeqPr__5B052800","174623665","IV_ClientePropr","IV_Propriedade","NO_ACTION","NO_ACTION","False","False"
"1527832655","FK__IV_HISTOR__SEQHI__5B10E04F","1447832370","IV_HISTORICOTAG","IV_Historico","CASCADE","NO_ACTION","False","False"
"1717633212","FK__IV_Q_AVAL__SEQQU__666100BC","1685633098","IV_Q_AVALIA_USADO_ENTRADA","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1719065260","FK__IV_CodPro__CodPr__6676DAAC","398624463","IV_CodProcComent","IV_CodProcesso","CASCADE","NO_ACTION","False","False"
"1719781284","FK__IV_Q_ACOM__SEQQU__6681C7A4","1687781170","IV_Q_ACOMP_VENDA_DIRETAJD","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1720445253","FK__IV_CartLo__SeqCo__668BE945","1224443486","IV_CartLoteImp","IV_CartContratante","NO_ACTION","NO_ACTION","False","False"
"1721213332","FK__IV_CARTPE__SEQPR__6697A194","1689213218","IV_CARTPESSOA","IV_CartProposta","CASCADE","NO_ACTION","False","False"
"1723973318","FK__IV_ProjDo__SeqPr__66C1BEC6","398012549","IV_ProjDocto","IV_Projeto","NO_ACTION","NO_ACTION","False","False"
"1727449328","FK__EXT_Titul__SeqPe__66F6C8F0","815446079","EXT_Titulo","GE_Pessoa","CASCADE","NO_ACTION","False","False"
"1730977393","FK__IV_Q_ABER__SEQQU__672C9E71","1698977279","IV_Q_ABERTURA_OS_REVISAO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1735065317","FK__IV_Conhec__SeqCo__676AFEE5","462624691","IV_ConhecFonema","IV_Conhecimento","CASCADE","NO_ACTION","False","False"
"1736445310","FK__IV_CartPr__SeqCa__67800D7E","1288443714","IV_CartProduto","IV_CartMarca","NO_ACTION","NO_ACTION","False","False"
"1739973375","FK__IV_ProjDo__SeqDo__67B5E2FF","398012549","IV_ProjDocto","DMN_Doc","CASCADE","NO_ACTION","False","False"
"1740585289","FK__IV_Q_AFER__SEQQU__67BF3949","1708585175","IV_Q_AFERICAO_PECAS","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1740637344","FK__IVF_Acord__Prazo__67C004A0","1083150904","IVF_Acordo","IVF_Prazo","NO_ACTION","NO_ACTION","False","False"
"1742121447","FK__IV_Q_LIBE__SEQQU__67D6A9E7","1710121333","IV_Q_LIBERAR_DEMONSTRACAO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"1743449385","FK__EXT_Titul__IdPes__67EAED29","815446079","EXT_Titulo","EXT_Pessoa","NO_ACTION","NO_ACTION","False","False"
"59199311","FK__IV_Q_APRE__SEQQU__03874F4F","27199197","IV_Q_APRESENT_IMPLEMENTO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"60631359","FK__IV_Agenda__SeqPe__039D293F","1746105261","IV_Agenda","GE_Pessoa","NO_ACTION","NO_ACTION","False","False"
"67583379","FK__IV_ProcFa__CodPr__04073D93","1742629251","IV_ProcFase","IV_CodProcesso","CASCADE","NO_ACTION","False","False"
"76631416","FK__IV_Agenda__Acao__04914D78","1746105261","IV_Agenda","IV_Acao","NO_ACTION","NO_ACTION","False","False"
"78779488","FK__IV_Q_VEND__SEQQU__04B21460","46779374","IV_Q_VENDA_PERDIDA_PROD","IV_Questionario","CASCADE","NO_ACTION","False","False"
"83635491","FK__IVC_ATEND__SEQUS__04FC2D23","2039118455","IVC_ATENDENTE","GE_Usuario","CASCADE","NO_ACTION","False","False"
"87059446","FK__GE_Permis__SeqUs__05306BF6","1925581898","GE_Permissao","GE_Usuario","CASCADE","NO_ACTION","False","False"
"99583493","FK__IV_ProcPe__CodPr__05EF8605","1838629593","IV_ProcPersp","IV_CodProcesso","NO_ACTION","NO_ACTION","False","False"
"99635548","FK__IVC_ATEND__SEQAG__05F0515C","2039118455","IVC_ATENDENTE","IV_Agenda","NO_ACTION","NO_ACTION","False","False"
