"SeqCampanha","Campanha","Descricao","Detalhe","Grupo","DtaInicio","DtaFim","EmUso","UsuInclusao","DtaInclusao","UsuAlteracao","DtaAlteracao","ProvedorSmsPL","Resultado","PrioridadeMail2Easy","DetHistorico","PRIORIDADEALLIN","PRIORIDADEEMAIL","PRIORIDADESMS","PRIORIDADECORREIO","SEQTXTPADRAO","INDINTERATIVO","CODCAMPANHA","SEQCONTEUDO","SEQFORMULARIO","SEQEMAILTEMPLATE","PROVEDOREMAILPL","EMAILHORAINI","EMAILHORAFIM","SMSHORAINI","SMSHORAFIM","QTDMSG","IDULTUPLOAD"
"148","SAFRA_CANA","Abertura de Safra-Colheitadeira de Cana","Abertura de Safra - Colheitadeira de Cana","VENDAS","22/02/2022 00:00:00","31/12/2022 00:00:00","0","VANESSA.ALVES","22/02/2022 00:00:00","VANESSA.ALVES","22/02/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"149","ATIVO_S/COB","Carteira_Ativa_Sem_Cobertura","Carteira ativa de sem com baixa cobertura. Lista de clientes validadas com o gestor.","VENDAS","24/02/2022 00:00:00","31/12/2022 00:00:00","0","VANESSA.ALVES","24/02/2022 00:00:00","VANESSA.ALVES","24/02/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"150","SERV_GRAOS","Campanha Start Safra Grãos 2022","Divulgações em Redes Sociais de condições especiais para Campanha Start Safra de Grãos 2022. (Pacote de serviços para colheitadeira de grãos)","VENDAS","02/03/2022 00:00:00","30/04/2022 00:00:00","0","BRUNA.TRUGILIO","28/02/2022 00:00:00","BRUNA.TRUGILIO","28/02/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"152","GARANTIA","GARANTIA","GARANTIA","VENDAS","01/03/2022 00:00:00","31/12/2049 00:00:00","0","VANESSA.ALVES","01/03/2022 00:00:00","VANESSA.ALVES","01/03/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"153","CABINE","CABINE","Clientes com historico de compra de trator 5EN sem cabine.
Ofertar a cabine ou renovação de frota.","VENDAS","04/04/2022 00:00:00","30/04/2022 00:00:00","0","VANESSA.ALVES","04/04/2022 00:00:00","VANESSA.ALVES","04/04/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"154","AGRISHOW2022","AGRISHOW2022","Campanha Agrishow 2022

06/04/2022 a 30/06/2022","VENDAS","06/04/2022 00:00:00","30/06/2022 00:00:00","0","VANESSA.ALVES","06/04/2022 00:00:00","VANESSA.ALVES","06/04/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"156","PROS_CONSORC","Prosp_Consorcio","Prosp_Consorcio clientes da plataforma Random sem vinculo a carteiras ativas","VENDAS","12/04/2022 00:00:00","31/12/2023 00:00:00","0","VANESSA.ALVES","12/04/2022 00:00:00","VANESSA.ALVES","12/04/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"158","CLI_FIEL","Prosp_Cli_Fiel","Campanha para cadastramento do Cliente Fiel","VENDAS","27/04/2022 00:00:00","30/05/2022 00:00:00","0","VANESSA.ALVES","27/04/2022 00:00:00","VANESSA.ALVES","27/04/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"159","ROD_JABOR_22","RODEIO_JABORANDI_22","RODEIO_JABORANDI_22","VENDAS","05/05/2022 00:00:00","30/05/2022 00:00:00","0","VANESSA.ALVES","04/05/2022 00:00:00","VANESSA.ALVES","04/05/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"160","CAMP_PNEUS","Campanha_Pneus","Campanha_Pneus","VENDAS","06/05/2022 00:00:00","16/05/2022 00:00:00","0","VANESSA.ALVES","06/05/2022 00:00:00","VANESSA.ALVES","06/05/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
