"Servidor","CodProcesso","Tipo","Aplicativo","DtaExecucao","ExeMinuto","Prioridade","Solicitante","SeqProcesso","Descricao","Obs","LinkNro","LinkStr","Argumento","DNet","PrioridadeThread","ThreadNro","SEQFILA"
"1","MOV_PESSOA","AUTO","INTERNO","02/09/2026 22:19:18","","3","IGOR.MODESTO","","Movimentação de tabelas","","123969","","#ORIGEM=MOBILELITE#TRANS=1#USR=IGOR.MODESTO#MSGC=1#PSTT=1#IVSPES=1","","","","38199296"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:18","","3","IGOR.MODESTO","","Movimentação de tabelas","","1620463","","#ORIGEM=MOBILELITE#TRANS=1#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199297"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:18","","3","IGOR.MODESTO","","Movimentação de tabelas","","1620463","","#ORIGEM=MOBILELITE#TRANS=1#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199298"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:19:18","","3","IGOR.MODESTO","","Movimentação de tabelas","","1827979","","#ORIGEM=MOBILELITE#TRANS=1#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199299"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:18","","3","IGOR.MODESTO","","Movimentação de tabelas","","1620463","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199300"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1609392","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199301"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1824595","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199302"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1609392","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199303"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1824595","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199304"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1609392","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199305"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1614918","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199306"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1824596","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199307"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1614918","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199308"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1824596","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199309"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1614918","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199310"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1615649","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199311"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1820129","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199312"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:20","","3","IGOR.MODESTO","","Movimentação de tabelas","","1615649","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199313"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:19:21","","3","IGOR.MODESTO","","Movimentação de tabelas","","1820129","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199314"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:21","","3","IGOR.MODESTO","","Movimentação de tabelas","","1615649","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199315"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:21","","3","IGOR.MODESTO","","Movimentação de tabelas","","1608457","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199316"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:19:21","","3","IGOR.MODESTO","","Movimentação de tabelas","","1816586","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199317"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:21","","3","IGOR.MODESTO","","Movimentação de tabelas","","1608457","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199318"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:19:21","","3","IGOR.MODESTO","","Movimentação de tabelas","","1816586","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199319"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:19:21","","3","IGOR.MODESTO","","Movimentação de tabelas","","1608457","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199320"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:20:38","","3","IGOR.MODESTO","","Movimentação de tabelas","","1620464","","#ORIGEM=MOBILELITE#TRANS=1#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199321"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:20:38","","3","IGOR.MODESTO","","Movimentação de tabelas","","1620464","","#ORIGEM=MOBILELITE#TRANS=1#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199322"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:20:38","","3","IGOR.MODESTO","","Movimentação de tabelas","","1827980","","#ORIGEM=MOBILELITE#TRANS=1#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199323"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:20:38","","3","IGOR.MODESTO","","Movimentação de tabelas","","1620464","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199324"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:20:39","","3","IGOR.MODESTO","","Movimentação de tabelas","","1603588","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199325"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:20:39","","3","IGOR.MODESTO","","Movimentação de tabelas","","1796121","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199326"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:20:39","","3","IGOR.MODESTO","","Movimentação de tabelas","","1603588","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199327"
"1","MOV_AGENDA","AUTO","INTERNO","02/09/2026 22:20:39","","3","IGOR.MODESTO","","Movimentação de tabelas","","1796121","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199328"
"1","MOV_PROCESSO","AUTO","INTERNO","02/09/2026 22:20:39","","3","IGOR.MODESTO","","Movimentação de tabelas","","1603588","","#ORIGEM=MOBILELITE#TRANS=2#USR=IGOR.MODESTO#MSGC=1#PSTT=1","","","","38199329"
