"SeqAcaoAuto","Pcte","NroEmpresa","Resultado","ResultadoCmpl","Acao","SeqUsuario","AssuntoCmpl","Operacao","UsaObjDyn","Exigida","GerarPara","FormaGeracao","QtdeDias","QtdeHU","Departamento","AtivoReceptivo","FormaPrimCont","Prioridade","SemConfirmacao","TipoAgendamento","Mesmoprocesso","SeqOrder","CHKSUM","QuebraDNA","EXIGESCOLHAATDGRPO","INDGERAPARAPESPRC","EMUSO","PROPAGAFORMTRAB","SOLICDATAAGD","HORAAGENDA"
"8250","","9","2867","","672","1123","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8251","","11","2867","","672","1125","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8252","","4","2867","","672","1158","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8253","","12","2867","","672","1127","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8254","","5","2867","","672","1159","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8255","","10","2867","","672","1160","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8256","","7","2867","","672","1122","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8257","","1","2867","","672","1121","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8258","","13","2867","","672","1255","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8259","","14","2867","","672","1256","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8260","","15","2867","","672","1257","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8261","","16","2867","","672","1258","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8262","","17","2867","","672","1259","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8263","","18","2867","","672","1260","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8264","","16","2864","","","1258","","","0","N","","","0","0,00","","A","","0","S","C","S","1","","0","0","0","1","0","0",""
"8265","","3","2864","","","1124","","","0","N","","","0","0,00","","A","","0","S","C","S","1","","0","0","0","1","0","",""
"8266","","9","2864","","","1123","","","0","N","","","0","0,00","","A","","0","S","C","S","1","","0","0","0","1","0","",""
"8267","","2","2864","","","1126","","","0","N","","","0","0,00","","A","","0","S","C","S","1","","0","0","0","1","0","",""
"8268","","14","2864","","","1256","","","0","N","","","0","0,00","","A","","2","S","C","S","1","","0","0","0","1","0","",""
"8269","","11","2864","","","1125","","","0","N","","","0","0,00","","A","","2","S","C","S","1","","0","0","0","1","0","",""
"8270","","4","2864","","","1158","","","0","N","","","0","0,00","","A","","2","S","C","S","1","","0","0","0","1","0","",""
"8271","","12","2864","","","1127","","","0","N","","","0","0,00","","A","","2","S","C","S","1","","0","0","0","1","0","",""
"8272","","5","2864","","","1159","","","0","N","","","0","0,00","","A","","2","S","C","S","1","","0","0","0","1","0","",""
"8273","","15","2864","","","1257","","","0","N","","","0","0,00","","A","","2","S","C","S","1","","0","0","0","1","0","",""
"8274","","10","2864","","","1160","","","0","N","","","0","0,00","","A","","2","S","C","S","1","","0","0","0","1","0","",""
"8275","","18","2864","","","1260","","","0","N","","","0","0,00","","A","","2","S","C","S","1","","0","0","0","1","0","",""
"8276","","7","2864","","","1122","","","0","N","","","0","0,00","","A","","2","S","C","S","1","","0","0","0","1","0","",""
"8277","","1","2864","","","1121","","","0","N","","","0","0,00","","A","","2","S","C","S","1","","0","0","0","1","0","",""
"8278","","13","2864","","","1255","","","0","N","","","0","0,00","","A","","2","S","C","S","1","","0","0","0","1","0","",""
"8279","","17","2864","","","1259","","","0","N","","","0","0,00","","A","","2","S","C","S","1","","0","0","0","1","0","",""
"8280","","","3306","","616","735","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","1","0","1","0","0",""
"8281","","13","2877","","676","1115","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8282","","14","2877","","676","1116","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8283","","15","2877","","676","1117","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8284","","16","2877","","676","1118","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8285","","17","2877","","676","1119","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8286","","18","2877","","676","1120","","","0","S","","","0","0,00","","A","","2","N","A","S","1","","0","0","0","1","0","0",""
"8287","","2","3401","","800","1126","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8288","","3","3401","","800","1124","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8289","","9","3401","","800","1123","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8290","","14","3401","","800","1256","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8291","","11","3401","","800","1125","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8292","","4","3401","","800","1158","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8293","","12","3401","","800","1127","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8294","","5","3401","","800","1159","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8295","","15","3401","","800","1257","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8296","","10","3401","","800","1160","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8297","","18","3401","","800","1260","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8298","","7","3401","","800","1122","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8299","","1","3401","","800","1121","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8300","","13","3401","","800","1255","","","0","S","","","0","0,00","","A","","2","N","A","S","100","","0","0","0","1","0","0",""
"8696","","3","3435","","772","1124","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8697","","9","3435","","772","1123","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8698","","14","3435","","772","1256","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8699","","11","3435","","772","1125","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8700","","4","3435","","772","1158","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8701","","12","3435","","772","1127","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
