"SeqRegra","SeqCons","Regra","Ordem","Condicao","Acao1","Acao2"
"224","101","SE_ENV_XML_FPR","10","[[ENV_XML]] > 1","[[ENV_XML]] [COR_FUNDO] #COR=255","[[ENV_XML]] [COR_TEXTO] #COR=16777215"
"225","101","SE_ENV_XML_NPR","10","[[ENV_XML]] = 1","[[ENV_XML]] [COR_FUNDO] #COR=65535","[[ENV_XML]] [COR_TEXTO] #COR=0"
"226","101","SE_EMT_NF_IN_APR","10","[[EMT_NF_INC]] <= 1 and [[EMT_NF_INC]] >= 0","[[EMT_NF_INC]] [COR_FUNDO] #COR=32768","[[EMT_NF_INC]] [COR_TEXTO] #COR=16777215"
"227","101","SE_EMT_NF_INC_FPR","10","[[EMT_NF_INC]] > 1","[[EMT_NF_INC]] [COR_FUNDO] #COR=255","[[EMT_NF_INC]] [COR_TEXTO] #COR=16777215"
"228","101","SE_EMT_NF_INC_NPR","10","[[EMT_NF_INC]] = 1","[[EMT_NF_INC]] [COR_FUNDO] #COR=65535","[[EMT_NF_INC]] [COR_TEXTO] #COR=0"
"229","87","SE_LEV_DOC_ANTESPRAZ","01","[[LEV_DOC]]<=1 and [[LEV_DOC]]>=0","[[LEV_DOC]] [[COR_FUNDO] #COR=32768","[[LEV_DOC]] [COR_TEXTO] #=16777215"
"230","87","SE_LEV_DO_FORAPRAZO","","[[LEV_DOC]] >1","[[LEV_DOC]] [COR_FUNDO] #COR=255","[[LEV_DOC]] [COR_TEXTO] #=16777215"
"231","87","SE_LEV_DOC_NOPRAZO","","[[LEV_DOC]] =1","[[LEV_DOC]] [COR_FUNDO] #COR=65535","[[LEV_DOC]] [COR_TEXTO] #COR=0"
"232","87","SE_PREP_DOC_NOPRAZO","","[[PREP_DOC]]=1","[[PREP_DOC]] [COR_FUNDO] #COR=65535","[[PREP_DOC]] [COR_TEXTO] #COR=0"
"233","87","SE_PREP_DOC_FORAPRAZ","01","[[PREP_DOC]]>1","[[PREP_DOC]] [COR_FUNDO] #COR=255","[[PREP_DOC]] [COR_TEXTO] #COR=16777215"
"234","87","SE_PREP_DOC_ANTEPRAZ","","[[PREP_DOC]]<=1 and [[PREP_DOC]] >= 0","[[PREP_DOC]] [COR_FUNDO] #COR=32768","[[PREP_DOC]] [COR_TEXTO] #COR=16777215"
"235","87","SE_DISP_AMS_ANTESPRA","01","[[DISP_AMS]] < 1 and [[DISP_AMS]] >= 0","[[DISP_AMS]] [COR_FUNDO] #COR=32768","[[DISP_AMS]] [COR_TEXT0] #COR=16777215"
"236","87","SE_DISP_AMS_FORAPRAZ","01","[[DISP_AMS]] > 0","[[DISP_AMS]] [COR_FUNDO] #COR=255","[[DISP_AMS]] [COR_TEXTO] #COR=16777215"
"237","87","SE_DISP_AMS_NOPRAZO","01","[[DISP_AMS]] = 0","[[DISP_AMS]] [COR_FUNDO] #COR=65535","[[DISP_AMS]] [COR_TEXTO] #COR=0"
"238","87","SE_REC_NOVO_ANTESPRA","01","[[REC_NOVO]] < 1 and [[REC_NOVO]] >= 0","[[REC_NOVO]] [COR_FUNDO] #COR=32768","[[REC_NOVO]] [COR_TEXTO] #COR=16777215"
"239","87","SE_REC_NOVO_FORAPRAZ","01","[[REC_NOVO]] > 0","[[REC_NOVO]] [COR_FUNDO] #COR=255","[[REC_NOVO]] [COR_TEXTO] #COR=16777215"
"240","135","GRP1","1","[[SUBSEQ]]='.'","[[ITEM]] [COR_FUNDO] #COR=65535","[[ITEM]] [NEGRITO]"
