"Seq","Modulo","Item","SeqPolSeg","Str","DtaAlteracao","UsuAlteracao"
"204","CRM_M051","HST_IMPROD","7","365","09/12/2024 17:50:56","VTCCONS"
"205","CRM_M051","HST_MINIMO","7","0","09/12/2024 17:50:56","VTCCONS"
"206","CRM_M001","ATD_PES_12","1","0","10/01/2025 10:31:27","VTCCONS"
"207","CRM_M001","ATD_PES_12","4","0","10/01/2025 10:58:57","MATHEUS.AUGUSTO"
"208","GLB_M000","GLB_LGPD_10","4","0","18/02/2025 07:42:40","NETO.PRADO"
"209","GLB_M000","GLB_LGPD_10","2","0","18/02/2025 07:53:40","NETO.PRADO"
"210","GLB_M000","GLB_LGPD_10","3","0","18/02/2025 07:54:52","NETO.PRADO"
"211","GLB_M000","GLB_LGPD_10","7","0","18/02/2025 08:00:15","NETO.PRADO"
"242","CRM_M001","ATD_PRC_20_DEL","8","1","25/03/2013 12:19:37","VTCCONS"
"243","CRM_M001","ATD_SGM_20","8","16","28/05/2024 13:27:20","NETO.PRADO"
"244","CRM_M001","ATD_AG0_70_QTLM","8","0","03/03/2015 12:51:54","JULIANA.PLACIDI"
"245","CRM_M001","ATD_PES_50_VINC","8","6","11/11/2019 15:49:06","DIEGO.MARQUES"
"246","CRM_M001","ATD_PES_12","8","0","25/03/2025 13:50:28","MATHEUS.AUGUSTO"
"247","GLB_M001","GLB_LGPD_10","8","0","07/06/2023 09:50:00","DIEGO.MARQUES"
"248","CRM_M001","ATD_PRC_20_DELALL","8","0","05/11/2023 17:19:00","DIEGO.MARQUES"
"249","GLB_M000","GLB_LGPD_10","8","0","18/02/2025 07:54:52","NETO.PRADO"
"250","CRM_M001","ATD_HST_10_RETR","2","1","19/02/2025 10:35:40","V:DANIEL"
"251","CRM_M001","ATD_CT0_10","9","T","25/03/2013 12:19:26","VTCCONS"
"252","CRM_M001","ATD_CT0_20","9","T","25/03/2013 12:19:26","VTCCONS"
"253","CRM_M001","ATD_CT0_22","9","T","25/03/2013 12:19:26","VTCCONS"
"254","CRM_M001","ATD_PRC_20_DEL","9","0","27/03/2013 19:35:51","VTCCONS"
"255","CRM_M001","ATD_PRC_20_DELALL","9","0","27/03/2013 19:35:51","VTCCONS"
"256","CRM_M001","ATD_PES_10","9","1","27/10/2016 09:57:33","VANESSA.ALVES"
"257","CRM_M001","ATD_PES_11","9","1","09/10/2013 10:45:05","VTCCONS"
"258","CRM_M001","ATD_SGM_20","9","16","25/02/2025 11:03:41","MATHEUS.AUGUSTO"
"259","CRM_M001","ATD_AG0_70_QTLM","9","0","12/02/2015 11:45:49","JULIANA.PLACIDI"
"260","CRM_M001","ATD_PES_50_VINC","9","6","19/03/2015 08:55:24","JACQUELINE.DUARTE"
"261","CRM_M001","ATD_PES_12","9","0","16/01/2025 11:19:41","NETO.PRADO"
"262","CRM_M051","PESCAD_LATLONGITUDE","9","1","10/11/2016 14:25:50","VANESSA.ALVES"
"263","CRM_M051","JUNO_CGO2","9","0","09/12/2024 17:50:56","VTCCONS"
"264","GLB_M001","GLB_LGPD_10","9","0","06/06/2023 10:43:00","DIEGO.MARQUES"
"265","CRM_M001","ATD_ROLG_10","9","1","03/11/2023 11:48:53","LIVIA.SILVA"
"266","CRM_M001","ATD_ROL_90","9","1","03/11/2023 15:43:58","LIVIA.SILVA"
"267","CRM_M051","PESCAD_EXIGESEGJUNO","9","1","09/12/2024 17:44:16","VTCCONS"
"268","CRM_M051","PESCAD_SOLICATUGEOPO","9","0","09/12/2024 17:47:16","VTCCONS"
