"SeqResMsgPapel","Resultado","AtitudeUsr","NroEmpresa","ResultadoCmpl","Grupo","Ordem","TipoDest","Papel","Canal","SeqTxtPadrao","Template","Remetente","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","PesFormulario","PesResultado","QTDEDIAS","QTDEHU","SEQCONTAENVIO","TIPOPREFENVIO","INDENVIAQLQERHORA","EMUSO","PRIORIDADE","DESCRICAOMENSAGEM","OBJETIVOMSG"
"1011","1178"," ","","Licença","1","1","USR","489","EML","117","","","11/10/2019 12:13:53","DIEGO.MARQUES","14/10/2019 14:36:20","DIEGO.MARQUES","","","","0,00","","","","1","5","",""
"1012","1178"," ","","Ativação de Licença","1","1","USR","489","EML","117","","","11/10/2019 12:18:23","DIEGO.MARQUES","14/10/2019 14:36:20","DIEGO.MARQUES","","","","0,00","","","","1","5","",""
"1019","1494"," ","","","","","USR","167","EML","69","","","21/10/2019 15:01:41","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1020","1494"," ","","","","","USR","875","EML","69","","","21/10/2019 15:01:19","DIEGO.MARQUES","11/03/2024 15:52:09","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1022","737"," ","","","","","USR","167","EML","118","","","29/10/2019 16:42:19","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1025","741"," ","","","","","USR","167","EML","118","","","29/10/2019 16:44:00","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1098","1707"," ","5","","","","USR","326","EML","3","","","11/05/2020 21:58:08","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1099","1707"," ","12","","","","USR","421","EML","3","","","11/05/2020 21:57:23","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1101","1707"," ","11","","","","USR","326","EML","3","","","11/05/2020 21:52:00","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1104","1707"," ","2","","","","USR","421","EML","3","","","11/05/2020 21:46:14","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1106","1707"," ","","","","","USR","290","EML","3","","","11/05/2020 21:44:40","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1119","1715"," ","","","","","PAPEL","Resp Pesq Satisfação","EML","129","","","14/05/2020 14:24:45","DIEGO.MARQUES","26/05/2020 08:44:19","DIEGO.MARQUES","64","1716","0","0,00","290","","","1","5","",""
"1126","1724"," ","","","","","PAPEL","Resp Pesq Satisfação","EML","95","","","17/06/2020 22:37:26","DIEGO.MARQUES","14/04/2021 16:58:15","DIEGO.MARQUES","65","1725","0","0,00","290","","","1","5","",""
"1132","1779"," ","","","","","PAPEL","Resp Pesq Satisfação","EML","132","","","26/07/2020 10:43:56","DIEGO.MARQUES","26/07/2020 10:48:34","DIEGO.MARQUES","69","1780","30","0,00","290","","","1","5","",""
"1140","484"," ","2","Com Contrato","","","USR","756","EML","133","","","11/08/2020 21:52:24","DIEGO.MARQUES","09/03/2022 08:12:02","DIEGO.MARQUES","","","","0,00","","","","1","5","",""
"1141","484"," ","","Com Contrato","","","USR","577","EML","133","","","11/08/2020 21:51:56","DIEGO.MARQUES","","","","","","0,00","","","","1","5","",""
"1144","484"," ","1","Com Contrato","","","USR","594","EML","133","","","12/08/2020 07:56:24","DIEGO.MARQUES","","","","","","0,00","","","","1","5","",""
"1327","1964"," ","","","","","USR","692","EML","136","","","19/05/2021 10:10:07","DIEGO.MARQUES","28/03/2023 09:15:01","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1330","1964"," ","11","","","","USR","326","EML","136","","","19/05/2021 10:05:04","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1331","1964"," ","4","","","","USR","326","EML","136","","","19/05/2021 10:05:02","DIEGO.MARQUES","08/05/2024 09:09:40","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1332","1964"," ","12","","","","USR","421","EML","136","","","19/05/2021 10:00:46","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1333","1964"," ","5","","","","USR","326","EML","136","","","19/05/2021 10:09:21","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1334","1964"," ","10","","","","USR","421","EML","136","","","19/05/2021 10:09:26","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1335","1964"," ","7","","","","USR","326","EML","136","","","19/05/2021 10:09:31","DIEGO.MARQUES","08/05/2024 09:09:40","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1336","1964"," ","1","","","","USR","606","EML","136","","","19/05/2021 10:09:36","DIEGO.MARQUES","10/05/2024 08:19:54","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1342","2010"," ","1","","","","USR","127","EML","146","","","29/05/2021 18:22:35","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1347","2010"," ","","","","","USR","516","EML","146","","","29/05/2021 18:20:35","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1354","2036"," ","","","","","USR","516","EML","146","","","30/05/2021 21:44:01","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1298","1776"," ","4","","","","USR","593","EML","138","","","02/03/2021 11:07:31","VANESSA.ALVES","06/01/2022 22:48:25","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"1300","1641"," ","4","","","","USR","326","EML","136","","","02/03/2021 11:10:38","VANESSA.ALVES","08/05/2024 09:10:10","LIVIA.SILVA","","","","0,00","","","","1","5","",""
