"SeqPar","SeqGlbPar","NroEmpresa","Campo1","Campo2","Campo3","Campo4","Campo5","Campo6","Numero1","Numero2","Numero3","Numero4","Numero5","Numero6","Data1","Data2","Data3","Data4","Data5","Data6","Literal1","Literal2","Literal3","Literal4","Literal5","Literal6","Literal7","Literal8","Literal9","Literal10","DtaAlteracao","UsuAlteracao","SimNao1","SimNao2","SimNao3","SimNao4","SimNao5","SimNao6","SimNao7","SimNao8","SimNao9","SimNao10"
"10499","9401","0","Solis","","","","","","","","","","","","","","","","","","S 75N","","","","","","","","","","11/10/2018 09:22:00","DIEGO.MARQUES","1","","","","","","","","",""
"10500","9401","0","Solis","","","","","","","","","","","","","","","","","","S 90N","","","","","","","","","","11/10/2018 09:22:00","DIEGO.MARQUES","1","","","","","","","","",""
"10501","9401","0","Solis","","","","","","","","","","","","","","","","","","S 75N CRDI","","","","","","","","","","11/10/2018 09:23:00","DIEGO.MARQUES","1","","","","","","","","",""
"10502","9401","0","Solis","","","","","","","","","","","","","","","","","","S 90N CRDI","","","","","","","","","","11/10/2018 09:23:00","DIEGO.MARQUES","1","","","","","","","","",""
"10503","9401","0","New Holland","","","","","","","","","","","","","","","","","","T4.85V","","","","","","","","","","26/05/2019 11:26:00","DIEGO.MARQUES","1","","","","","","","","",""
"10504","9401","0","New Holland","","","","","","","","","","","","","","","","","","T4.95V","","","","","","","","","","26/05/2019 11:26:00","DIEGO.MARQUES","1","","","","","","","","",""
"10505","9401","0","New Holland","","","","","","","","","","","","","","","","","","T4.105V","","","","","","","","","","26/05/2019 11:27:00","DIEGO.MARQUES","1","","","","","","","","",""
"10506","9401","0","New Holland","","","","","","","","","","","","","","","","","","T6.110","","","","","","","","","","26/05/2019 11:28:00","DIEGO.MARQUES","1","","","","","","","","",""
"10507","9401","0","New Holland","","","","","","","","","","","","","","","","","","T6.130","","","","","","","","","","26/05/2019 11:28:00","DIEGO.MARQUES","1","","","","","","","","",""
"10508","9401","0","New Holland","","","","","","","","","","","","","","","","","","T7.175","","","","","","","","","","26/05/2019 11:28:00","DIEGO.MARQUES","1","","","","","","","","",""
"10509","9401","0","New Holland","","","","","","","","","","","","","","","","","","T7.190","","","","","","","","","","26/05/2019 11:28:00","DIEGO.MARQUES","1","","","","","","","","",""
"10510","9401","0","Case","","","","","","","","","","","","","","","","","","Puma 200","","","","","","","","","","11/10/2018 13:54:00","DIEGO.MARQUES","1","","","","","","","","",""
"10511","9401","0","Case","","","","","","","","","","","","","","","","","","Puma 185","","","","","","","","","","11/10/2018 13:57:00","DIEGO.MARQUES","0","","","","","","","","",""
"10512","9401","0","Case","","","","","","","","","","","","","","","","","","Puma 170","","","","","","","","","","11/10/2018 13:57:00","DIEGO.MARQUES","0","","","","","","","","",""
"10513","9401","0","Case","","","","","","","","","","","","","","","","","","Puma 230","","","","","","","","","","11/10/2018 13:57:00","DIEGO.MARQUES","0","","","","","","","","",""
"10514","9401","0","Case","","","","","","","","","","","","","","","","","","Steiger 370","","","","","","","","","","11/10/2018 13:58:00","DIEGO.MARQUES","1","","","","","","","","",""
"10515","9401","0","Case","","","","","","","","","","","","","","","","","","Steiger 420","","","","","","","","","","11/10/2018 14:07:00","DIEGO.MARQUES","0","","","","","","","","",""
"10516","9401","0","Case","","","","","","","","","","","","","","","","","","Steiger 770","","","","","","","","","","11/10/2018 14:08:00","DIEGO.MARQUES","0","","","","","","","","",""
"10517","9401","0","Case","","","","","","","","","","","","","","","","","","Steiger 500","","","","","","","","","","11/10/2018 14:08:00","DIEGO.MARQUES","0","","","","","","","","",""
"10518","9401","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11/10/2018 14:11:00","DIEGO.MARQUES","0","","","","","","","","",""
"10519","9401","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11/10/2018 14:11:00","DIEGO.MARQUES","0","","","","","","","","",""
"10520","9401","0","Case","","","","","","","","","","","","","","","","","","Steiger 540","","","","","","","","","","11/10/2018 14:13:00","DIEGO.MARQUES","0","","","","","","","","",""
"10521","9401","0","Case","","","","","","","","","","","","","","","","","","Steiger 580","","","","","","","","","","11/10/2018 14:14:00","DIEGO.MARQUES","0","","","","","","","","",""
"10522","9401","0","Case","","","","","","","","","","","","","","","","","","Steiger 620","","","","","","","","","","11/10/2018 14:14:00","DIEGO.MARQUES","0","","","","","","","","",""
"10523","9401","0","Valtra","","","","","","","","","","","","","","","","","","CVT T210","","","","","","","","","","11/10/2018 14:30:00","DIEGO.MARQUES","0","","","","","","","","",""
"10524","9401","0","Valtra","","","","","","","","","","","","","","","","","","VT BH224","","","","","","","","","","11/10/2018 14:29:00","DIEGO.MARQUES","1","","","","","","","","",""
"10525","9401","0","Valtra","","","","","","","","","","","","","","","","","","VT BH214","","","","","","","","","","11/10/2018 14:47:00","DIEGO.MARQUES","0","","","","","","","","",""
"10526","9401","0","Valtra","","","","","","","","","","","","","","","","","","VT BH194","","","","","","","","","","11/10/2018 14:47:00","DIEGO.MARQUES","0","","","","","","","","",""
"10527","9401","0","Valtra","","","","","","","","","","","","","","","","","","VT BH184","","","","","","","","","","11/10/2018 14:48:00","DIEGO.MARQUES","0","","","","","","","","",""
"10528","9401","0","Valtra","","","","","","","","","","","","","","","","","","VT BH174","","","","","","","","","","11/10/2018 14:48:00","DIEGO.MARQUES","0","","","","","","","","",""
"10529","9401","0","Valtra","","","","","","","","","","","","","","","","","","VT BH154","","","","","","","","","","11/10/2018 14:48:00","DIEGO.MARQUES","0","","","","","","","","",""
"10530","9401","0","Valtra","","","","","","","","","","","","","","","","","","VT BH144","","","","","","","","","","11/10/2018 14:48:00","DIEGO.MARQUES","0","","","","","","","","",""
"10531","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 8670 Dyna VT","","","","","","","","","","15/10/2018 13:58:00","DIEGO.MARQUES","1","","","","","","","","",""
"10532","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 8690 Dyna VT","","","","","","","","","","15/10/2018 14:31:00","DIEGO.MARQUES","1","","","","","","","","",""
"10533","9401","0","Massey","","","","","","","","","","","","","","","","","","MF7720","","","","","","","","","","06/11/2018 14:59:00","DIEGO.MARQUES","1","","","","","","","","",""
"10534","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 7725 Dyna 6","","","","","","","","","","15/10/2018 14:51:00","DIEGO.MARQUES","1","","","","","","","","",""
"10535","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 7214","","","","","","","","","","15/10/2018 14:56:00","DIEGO.MARQUES","1","","","","","","","","",""
"10536","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 7217","","","","","","","","","","15/10/2018 14:57:00","DIEGO.MARQUES","0","","","","","","","","",""
"10537","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 6712 R Dyna 4","","","","","","","","","","15/10/2018 14:57:00","DIEGO.MARQUES","1","","","","","","","","",""
"10538","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 6713 R Dyna 4","","","","","","","","","","15/10/2018 15:03:00","DIEGO.MARQUES","1","","","","","","","","",""
"10539","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 6712","","","","","","","","","","15/10/2018 15:03:00","DIEGO.MARQUES","1","","","","","","","","",""
"10540","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 5709","","","","","","","","","","15/10/2018 15:05:00","DIEGO.MARQUES","1","","","","","","","","",""
"10541","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 4707","","","","","","","","","","15/10/2018 15:06:00","DIEGO.MARQUES","1","","","","","","","","",""
