"Origem","Tabela","ChaveN1","ChaveN2","ChaveStr","ChaveLocalN1","ChaveLocalN2","ChaveLocalStr","DtaAlteracao","IndMudanca"
"IMPORTAÇÃO","IV_ACAOAUTO","2004","0","x","5974","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2005","0","x","5975","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2006","0","x","5976","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2007","0","x","5977","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2008","0","x","5978","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2009","0","x","5979","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2010","0","x","5980","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2011","0","x","5981","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2012","0","x","5982","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2013","0","x","5983","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2014","0","x","5984","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2015","0","x","5985","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2021","0","x","5986","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2022","0","x","5987","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2023","0","x","5988","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2024","0","x","5989","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2025","0","x","5990","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2051","0","x","5991","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2052","0","x","5992","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2053","0","x","5993","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2054","0","x","5994","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2055","0","x","5995","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2056","0","x","5996","0","x","22/11/2024 14:10:07","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2057","0","x","5997","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2058","0","x","5998","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2059","0","x","5999","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2060","0","x","6000","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2061","0","x","6001","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2062","0","x","6002","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2063","0","x","6003","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2064","0","x","6004","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2065","0","x","6005","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2066","0","x","6006","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2067","0","x","6007","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2068","0","x","6008","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2069","0","x","6009","0","x","22/11/2024 14:10:08","1"
