"SeqCbrCritDef","SeqCbrCriterio","Origem","NroEmpresa","Departamento","Especie","TipoCobranca","IndCobrJuridica","LocalCobranca","VlrAberto","DiasAbertoDe","DiasAbertoAte","AtividadePessoa","FisicaJuridica","diasvencidode","diasvencidoate"
"169","122","** Todas **","9999","** Todos **","DIRECTFACIL","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"171","122","** Todas **","9999","** Todos **","DUPLICATA","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"172","122","** Todas **","9999","** Todos **","ELO DEBITO","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"173","122","** Todas **","9999","** Todos **","GARANTIA/REVISAO","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"174","122","** Todas **","9999","** Todos **","INSS RETIDO","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"175","122","** Todas **","9999","** Todos **","IRRF","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"176","122","** Todas **","9999","** Todos **","MAESTRO","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"178","122","** Todas **","9999","** Todos **","MASTERCARD","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"179","122","** Todas **","9999","** Todos **","PIS RETIDO","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"180","122","** Todas **","9999","** Todos **","RECEBIMENT DIVERSOS","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"181","122","** Todas **","9999","** Todos **","TIT.ANTERIOR SISTEMA","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"182","122","** Todas **","9999","** Todos **","VISA ELECTRON","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"183","122","** Todas **","9999","** Todos **","VL FUNCIONARIO","** Todos **","0","** Todos **","1,00","","","","","-4","-4"
"184","121","** Todas **","9999","** Todos **","ADIANTAM. CLIENTE","** Todos **","0","** Todos **","1,00","","","","","0","0"
"185","121","** Todas **","9999","** Todos **","BOLETO BANCARIO","** Todos **","0","** Todos **","1,00","","","","","0","0"
"186","121","** Todas **","9999","** Todos **","BOLETO DE MAQUINAS","** Todos **","0","** Todos **","1,00","","","","","0","0"
"187","121","** Todas **","9999","** Todos **","CARTAO AMER. EXPRESS","** Todos **","0","** Todos **","1,00","","","","","0","0"
"188","121","** Todas **","9999","** Todos **","CARTAO ELO","** Todos **","0","** Todos **","1,00","","","","","0","0"
"189","121","** Todas **","9999","** Todos **","CARTAO VISA","** Todos **","0","** Todos **","1,00","","","","","0","0"
"190","121","** Todas **","9999","** Todos **","CARTEIRA","** Todos **","0","** Todos **","1,00","","","","","0","0"
"191","121","** Todas **","9999","** Todos **","COFINS RETIDO","** Todos **","0","** Todos **","1,00","","","","","0","0"
"192","121","** Todas **","9999","** Todos **","CSL RETIDO","** Todos **","0","** Todos **","1,00","","","","","0","0"
"193","121","** Todas **","9999","** Todos **","DEPOSITO EM CONTA","** Todos **","0","** Todos **","1,00","","","","","0","0"
"194","121","** Todas **","9999","** Todos **","DEVOLUCAO DE NOTAS","** Todos **","0","** Todos **","1,00","","","","","0","0"
"196","121","** Todas **","9999","** Todos **","DINHEIRO","** Todos **","0","** Todos **","1,00","","","","","0","0"
"197","121","** Todas **","9999","** Todos **","DINNERS CLUB","** Todos **","0","** Todos **","1,00","","","","","0","0"
"198","121","** Todas **","9999","** Todos **","DIRECTFACIL","** Todos **","0","** Todos **","1,00","","","","","0","0"
"200","121","** Todas **","9999","** Todos **","DUPLICATA","** Todos **","0","** Todos **","1,00","","","","","0","0"
"201","121","** Todas **","9999","** Todos **","ELO DEBITO","** Todos **","0","** Todos **","1,00","","","","","0","0"
