"SeqPropriedade","Propriedade","Pcte","Nivel","NivelIdentificador","CampoListar","MostraRef","Usacomplemento","TipoRefVinculado","UmPorPessoa","ReferenciaSQL","Campo1","Campo1Sql","Campo2","Campo2Sql","Campo3","Campo3Sql","Campo4","Campo4Sql","Campo5","Campo5Sql","Campo6","Campo6Sql","Numero1","Numero2","Numero3","Numero4","Numero5","Numero6","Data1","Data2","Data3","Data4","Data5","Data6","SimNao1","SimNao2","SimNao3","SimNao4","SimNao5","SimNao6","Literal1","Literal2","Literal3","Literal4","Literal5","Literal6","Literal7","Literal8","Literal9","Literal10","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","ReferenciaDesc","Literal1Sql","Literal2Sql","Literal3Sql","Literal4Sql","Literal5Sql","Literal6Sql","Literal7Sql","Literal8Sql","Literal9Sql","Literal10Sql","CAMPO7","CAMPO8","CAMPO7SQL","CAMPO8SQL"
"9411","Colhedora de Cana","","","3","LITERAL1","S","N","","0","1","","0","Modelo","1","","0","","0","","0","Ano","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","Quantidade","","",""
"9412","Distribuidora","","","5","CAMPO2","S","N","","0","1","","0","Modelo*","1","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29/10/2012 00:00:00","VTCCONS","Marca*","0","0","0","0","0","0","0","0","0","0","","","",""
"9413","CNAE","","","3","IDENTIFICADOR","S","N","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06/02/2018 00:00:00","VTCCONS","COD_CNAE","0","0","0","0","0","0","0","0","0","0","","","0","0"
"9414","NJUR","","","3","IDENTIFICADOR","S","N","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06/02/2018 00:00:00","VTCCONS","COD_NJUR","0","0","0","0","0","0","0","0","0","0","","","0","0"
"9500","NO-Origem da Receit+","","","3","CAMPO1","S","N","","0","1","Tipo*","1","","0","Peso","0","","0","Tipo de Área","0","","0","","","","Área(ha)","","","","","","","","","","","","","","","","","","","","","","","","","","","18/11/2011 00:00:00","VTCCONS","Grupo*","","","","","","","","","","","","","",""
"9502","NO-Trator+","","","3","CAMPO2","S","N","","0","1","","0","Modelo","1","Faixa de Potência","1","","0","","0","Ano","1","Quantidade*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9503","NO-Colheitadeira Gr+","","","3","CAMPO1","S","N","","0","1","","0","Modelo","1","Separador","1","Tipo da Plataforma","1","","0","Ano","1","Quantidade*","","","Tam Plataforma (L/P)","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9504","NO-Plataforma Adici+","","","3","CAMPO1","S","N","","0","0","Modelo","1","","0","","0","","0","","0","Ano","1","Quantidade*","","","Tam Plataforma (L/P)","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Tipo*","","","","","","","","","","","","","",""
"9505","NO-Plantadeira+","","","3","CAMPO1","S","N","","0","1","Tipo","1","Modelo","1","","0","","0","","0","Ano","1","Quantidade*","","","Nº de Linhas","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9506","NO-Implemento+","","","3","","S","N","","0","1","Tipo*","1","","0","","0","","0","","0","Ano","1","Quantidade*","","","","","","","","","","","","","","","","","","Modelo","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9507","NO-Agricultura Prec+","","","3","CAMPO1","S","N","","0","1","Tipo*","1","Modelo","1","","0","","0","","0","","0","Quantidade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9508","NO-Feno e Forragem+","","","3","CAMPO1","S","N","","0","1","Tipo","1","","0","","0","","0","","0","Ano","1","Quantidade*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9509","NO-Turf+","","","3","","S","N","","0","1","Tipo","0","Modelo","1","","0","","0","","0","","0","Quantidade*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9510","NO-Pulverizador+","","","3","LITERAL1","S","N","","0","1","","0","Modelo","1","","0","","0","","0","Ano","1","Quantidade*","","","Cap. Tanque Solução","","","","","","","","","","","","","","","","","","","","","","","","","","","19/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
