"Modulo","Item","Descricao","DescRed","Tipo","SubTipo","Ordem"
"CRM_M001","ATD_HST_21_ADPR","Permite incluir nova agenda ligada a este histórico derivada deste processo.","Inc. agd. dproc","B","","EH.HS21c"
"CRM_M001","ATD_HST_21_AMPR","Permite incluir nova agenda ligada a este histórico (mesmo processo).","Inc. agd mproc","B","","EH.HS21b"
"CRM_M001","ATD_HST_21_CICAV","Permite gerar ciência avulsa","Ciência avulsa","B","","EH.HS21a"
"CRM_M001","ATD_HST_21_HMPR","Permite incluir novo histórico ligado a este histórico (mesmo processo).","Inc. hst. mproc","B","","EH.HS21d"
"CRM_M001","ATD_HST_21_STST","Permite alterar o status de um resultado","Alterar status","B","","EH.HS21"
"CRM_M001","ATD_HST_22_CPDT","Inibir o botão ""Copia o detalhe"" no andamento da agenda","Inibir botão","B","","EH.HS22"
"CRM_M001","ATD_HST_23_MOT","Permite alterar o motivo/origem do histórico.","Alt. mot. hist.","B","","EH.HS23"
"CRM_M001","ATD_HST_24_MSG","Permite decidir se envia ou não mensagens (msg center) durante o registro do andamento.","Alt. msg center.","B","","EH.HS24"
"CRM_M001","ATD_HST_90_DTSG","Registrar históricos apenas com a data atual (c/ segundos - bloqueará campo de data) [SalesFunel]","Regist. hist. data atual","B","","EH.HS90"
"CRM_M001","ATD_PES_10","Incluir/alterar vínculo da pessoa com outros sistemas (origem)","Altera origem/vínculo","B","","AA_20"
"CRM_M001","ATD_PES_11","Ao incluir pessoa, solicitar automaticamente o destino de envio a outros sistemas (origem)","Solicita destino envio","B","","AA_21"
"CRM_M001","ATD_PES_12","Ao incluir pessoa, exigi a segmentação no Atendente e Juno","Exigir segmentação pessoa","B","","AA_22"
"CRM_M001","ATD_PES_13","Solicita justificativa ao trocar status da pessoa","Justificativa troca status","B","","AA_23"
"CRM_M001","ATD_PES_14","Permite alterar coordenadas de endereço principal e adicionais","Alterar coordenadas","B","","AA_24"
"CRM_M001","ATD_PES_15","Controlar a alteração de cadastro de pessoa através do grupo de pessoa.","Contr alt pes por grupo","B","","AA_25"
"CRM_M001","ATD_PES_16","Cadastrar/Alterar cidades.","Cadastrar/Alterar cidades.","B","","AA_30"
"CRM_M001","ATD_PES_17","Ao cadastrar cidades, incluir um novo país.","Incluir um novo país.","B","","AA_31"
"CRM_M001","ATD_PES_30_LNK","Na pesquisa de pessoas, referente à busca pelo LINK EXTERNO de forma exata:","Alterar vínculo","C","L","AA_60"
"CRM_M001","ATD_PES_50_VINC","Relacionado ao vínculo de pessoas principais (Conglomerados)","Alterar vínculo","N","L","AA_50"
"CRM_M001","ATD_PES_70_PROCEMAIL","Ao definira pessoa do e_Mail IN, quais processos vinculados ào e_mails serão trocados:","Troca process emailIN","C","L","AA_70"
"CRM_M001","ATD_PRC_20_DELALL","Permite excluir tudo relacionado ao processo","Exclui tudo do processo","B","","PR.P10"
"CRM_M001","ATD_PRC_30_DLME","Acesso à data prevista para encerramento do processo","Data prevista","N","L","PR.P30"
"CRM_M001","ATD_PRC_40_LNK","Acesso aos identificadores externos do processo (Link) com ERP","Acesso link","N","L","PR.Q30"
