"SeqCons","Var","Ord","Descricao","Padrao","DepAnt","Instrucao","InstrSql","Lista","SQLCmd","Externa","TpDado","Tudo","LimLow","CorLow","LimHig","CorHig"
"122","DT1","2","Data Inicio","Início do mês anterior (id)","0","","","","","0","","0","","","",""
"122","DT2","3","Data Fim","Final deste mês (fd)","0","","","","","0","","0","","","",""
"122","LT1","1","Processo","0","0","","","","","0","","0","","","",""
"123","DT1","9","Inicio","Início do mês anterior (id)","0","","","","","0","","0","","","",""
"123","DT2","10","Fim","Final do mês anterior (fd)","0","","","","","0","","0","","","",""
"123","LT1","8","Processo","0","0","","","","","0","","0","","","",""
"124","DT1","4","Inicio","Início do mês anterior (id)","0","","","","","0","","0","","","",""
"124","DT2","5","Fim","Final da semana (fd)","0","","","","","0","","0","","","",""
"124","LS1","3","Tipo de Analise","","0","","","Faturado","","0","","0","","","",""
"124","LT2","2","Processo:","%","0","","","","","0","","0","","","",""
"125","DT1","2","Inicio","Início da semana (id)","0","","","","","0","","0","","","",""
"125","DT2","3","Final","Final deste mês (fd)","0","","","","","0","","0","","","",""
"125","LT1","1","Processo","%","0","","","","","0","","0","","","",""
"126","DT1","3","Data Realização"," (id)","0","","","","","0","","0","","","",""
"126","LT1","1","Nro Chassi:","%","0","","","","","0","","0","","","",""
"126","LT2","2","Processo","0","0","","","","","0","","0","","","",""
"127","DT1","4","Pedido realizados entre:","Início do mês anterior (id)","0","","","","","0","","0","","","",""
"127","DT2","5","e:","Final do mês anterior (fd)","0","","","","","0","","0","","","",""
"127","DT3","6","Data da Entrega Tecnica entre:","Início do mês anterior (id)","0","","","","","0","","0","","","",""
"127","DT4","7","e:","Final do mês anterior (id)","0","","","","","0","","0","","","",""
"127","LS1","1","Empresa","","0","","SELECT EMP.NOMEREDUZIDO
FROM GE_EMPRESA EMP
WHERE EXISTS ( SELECT 1 FROM IVS_CARTEIRA CRT WHERE CRT.NROEMPRESA = EMP.NROEMPRESA)
ORDER BY 1
","","","0","","1","","","",""
"127","LS2","3","Tipo de Analise","","0","","","Aberto;Finalizados;Todos","","0","","0","","","",""
"127","SELX1","2","Carteira","#NUM=0#LARG=0","0","","","","","0","","1","","","",""
"128","DT1","4","Preenchimento do Formulário entre:","Início da semana passada (id)","0","","","","","0","","0","","","",""
"128","DT2","5","e:","Hoje (fd)","0","","","","","0","","0","","","",""
"128","LS1","3","Tipo de Analise","","0","","","ABERTO;FATURADO;TODOS","","0","","0","","","",""
"128","LT1","1","Nro Chassi:","%","0","Numero Chassi","","","","0","","0","","","",""
"128","LT2","2","Processo","0","0","Processo","","","","0","","0","","","",""
"129","DT1","4","Inicio"," (id)","0","","","","","0","","0","","","",""
"129","DT2","5","Fim"," (fd)","0","","","","","0","","0","","","",""
"129","LS1","1","Departamento","","0","","SELECT DPTO.DEPTO
FROM IVS_DEPTO DPTO
WHERE EXISTS ( SELECT PES.SEQDEPTO FROM IVS_PES PES WHERE PES.SEQDEPTO = DPTO.SEQDEPTO )
ORDER BY 1
","","","0","","1","","","",""
"129","LS2","2","Empresa","","0","","SELECT EMP.NOMEREDUZIDO
FROM GE_EMPRESA EMP
WHERE EXISTS ( SELECT 1 FROM IVS_CARTEIRA CRT WHERE CRT.NROEMPRESA = EMP.NROEMPRESA)
ORDER BY 1","","","0","","1","","","",""
"129","SELX1","3","Carteira","#NUM=1#LARG=0","1","","SELECT CRT.CARTEIRA #vksSql_ConcatHifen USR.NOMEREDUZIDO, CRT.SEQCARTEIRA
FROM IVS_DEPTO DPT
 JOIN IVS_CARTDEPTO CDP ON CDP.SEQDEPTO = DPT.SEQDEPTO
 JOIN IVS_CARTEIRA CRT ON CRT.SEQCARTEIRA = CDP.SEQCARTEIRA
 JOIN GE_EMPRESA EMP ON EMP.NROEMPRESA = CRT.NROEMPRESA
 JOIN GE_USUARIO USR ON USR.SEQUSUARIO = CRT.SEQUSRRESP
WHERE 1 = 1
 AND DPT.DEPTO = :LS1
 AND (EMP.NOMEREDUZIDO = :LS2 OR :TUDO2 = 1 )
ORDER BY 1","","","0","","1","","","",""
"130","DT1","4","Preenchimento do Formulário entre:","Início da semana passada","0","","","","","0","","0","","","",""
"130","DT2","5","e:","Hoje","0","","","","","0","","0","","","",""
"130","LS1","3","Tipo de Analise","","0","","","ABERTO;FATURADO;TODOS","","0","","0","","","",""
"130","LT1","1","Nro Chassi:","%","0","","","","","0","","0","","","",""
"130","LT2","2","Processo","0","0","","","","","0","","0","","","",""
"131","DT1","4","Preenchimento do Formulário entre:","Início da semana passada","0","","","","","0","","0","","","",""
"131","DT2","5","e:","Hoje","0","","","","","0","","0","","","",""
"131","LS1","3","Tipo de Analise","","0","","","ABERTO;FATURADO;TODOS","","0","","0","","","",""
"131","LT1","1","Chassi","%","0","","","","","0","","0","","","",""
"131","LT2","2","Processo","0","0","","","","","0","","0","","","",""
"132","DT1","4","Preenchimento do Formulário entre:","Início da semana passada (id)","0","","","","","0","","0","0,00","0","0,00","0"
"132","DT2","5","e:","Hoje (fd)","0","","","","","0","","0","0,00","0","0,00","0"
"132","LS1","3","Tipo de Analise","","0","","","ABERTO;FATURADO;TODOS","","0","","0","0,00","0","0,00","0"
"132","LT1","1","Nro Chassi:","%","0","Numero Chassi","","","","0","","0","0,00","0","0,00","0"
"132","LT2","2","Processo","0","0","Processo","","","","0","","0","0,00","0","0,00","0"
"133","DT1","2","Preenchimento do Formulario Entr","Início do mês anterior (id)","0","","","","","0","","0","","","",""
"133","DT2","3","E:","Hoje (fd)","0","","","","","0","","0","","","",""
"136","DT1","11","Preenchimento do Formlario entre:","Início da semana passada","0","","","","","0","","0","","","",""
"136","DT2","12","e","Hoje (fd)","0","","","","","0","","0","","","",""
"136","LT1","9","Nro Chassi:","%","0","","","","","0","","0","","","",""
"136","LT2","10","Processo","0","0","","","","","0","","0","","","",""
"138","DT1","6","Preenchimento do formulário entre:","Início deste ano","0","","","","","0","","0","","","",""
"138","DT2","7","e:","Hoje","0","","","","","0","","0","","","",""
"139","DT1","15","Preenchimento do Formulário entre:","Início da semana passada","0","","","","","0","","0","","","",""
"139","DT2","16","e","Hoje","0","","","","","0","","0","","","",""
"139","LT1","13","Nro Chassi:","%","0","","","","","0","","0","","","",""
"139","LT2","14","Processo","0","0","","","","","0","","0","","","",""
"140","DT1","6","Preenchimento do Formulário entre:","Início da semana passada","0","","","","","0","","0","","","",""
"140","DT2","7","e:","Hoje","0","","","","","0","","0","","","",""
"142","DT1","5","Faturamento previsto entre:","Início do ano anterior (id)","0","","","","","0","","0","0,00","0","0,00","0"
"142","DT2","6","e:","Final deste ano (fd)","0","","","","","0","","0","0,00","0","0,00","0"
"142","LS1","3","Família de produtos","","0","","SELECT DISTINCT ACV.TIPO_EQUIP1
FROM IV_Q$ACOMPANH_VENDA_JDE ACV
ORDER BY 1

","","","0","","1","0,00","0","0,00","0"
"142","LS2","2","Empresa","","0","","SELECT EMP.NOMEREDUZIDO
FROM GE_EMPRESA EMP
WHERE EXISTS ( SELECT 1 FROM IVS_CARTEIRA CRT WHERE CRT.NROEMPRESA = EMP.NROEMPRESA)
ORDER BY 1

","","","0","","1","0,00","0","0,00","0"
"142","NR1","7","Dias alertar andamento parados","15","0","Andamentos há mais desta qtde de dias, irá alertar com um indicador.","","","","0","","0","0,00","0","0,00","0"
