"CodModelo","ModoSimples","TipoObj","ChaveObj","PosLeft","PosTop","IndCor","Dados","IndMudanca"
"41","0","RES:Máquina Usada","1586","1150","200","-1","","9"
"41","0","RES:Máquina/Implemento","1648","1150","70","-1","","9"
"41","0","RES:Produto","3143","1150","1500","-1","","9"
"41","0","RES:Renegociação","2146","1150","10","-1","","9"
"43","0","ACAO","617","650","140","0","","9"
"43","0","ACAO","618","650","462","1","","9"
"43","0","RES","2649","70","60","-1","","1"
"44","0","ACAO","787","650","140","0","","9"
"44","0","ACAO","788","650","594","1","","9"
"44","0","ACAO","789","650","1048","2","","9"
"44","0","ACAO","790","650","1502","3","","9"
"44","0","ACAO","791","650","1956","4","","9"
"44","0","ACAO","792","650","1956","5","","9"
"44","0","ACAO","793","650","2396","6","","9"
"44","0","ACAO","794","650","2836","7","","9"
"44","0","ACAO","795","650","2836","8","","9"
"45","0","ACAO","626","650","140","0","","9"
"45","0","ACAO","627","641","462","1","","9"
"45","0","ACAO","628","650","968","2","","9"
"45","0","ACAO","629","658","1747","3","","9"
"45","0","ACAO","630","650","2026","4","","9"
"45","0","ACAO","631","650","2418","5","","9"
"45","0","ACAO","632","650","2740","6","","9"
"45","0","ACAO","633","650","3062","7","","9"
"45","0","ACAO","634","650","3632","8","","9"
"45","0","ACAO","635","650","3984","9","","9"
"45","0","ACAO","636","650","4380","10","","9"
"45","0","ACAO","637","650","4820","11","","9"
"45","0","ACAO","638","650","5142","12","","9"
"45","0","ACAO","639","650","5748","13","","9"
"45","0","ACAO","640","1450","140","14","","9"
"45","0","ACAO","641","1450","632","0","","9"
"45","0","ACAO","642","1450","1072","1","","9"
"45","0","ACAO","643","1450","1424","2","","9"
"45","0","ACAO","644","1450","1890","3","","9"
"45","0","ACAO","645","1450","2452","4","","9"
"45","0","ACAO","646","1450","2848","5","","9"
"45","0","ACAO","647","1450","3226","6","","9"
"45","0","ACAO","648","1450","3710","7","","9"
"45","0","ACAO","649","1450","4238","8","","9"
"45","0","ACAO","650","1450","4616","9","","9"
"45","0","ACAO","651","1450","5060","10","","9"
"45","0","ACAO","652","1450","5382","11","","9"
"45","0","ACAO","653","1450","5866","12","","9"
"45","0","ACAO","654","2250","140","13","","9"
"45","0","ACAO","655","2250","668","14","","9"
"45","0","ACAO","656","2250","1042","0","","9"
"45","0","ACAO","657","2250","1438","1","","9"
"45","0","ACAO","658","2250","1886","2","","9"
"45","0","ACAO","659","2250","2326","3","","9"
"45","0","ACAO","660","2250","2722","4","","9"
"45","0","ACAO","661","2250","3132","5","","9"
"45","0","ACAO","662","2250","3718","6","","9"
"45","0","ACAO","663","2250","4114","7","","9"
"45","0","ACAO","664","2250","4510","8","","9"
"45","0","ACAO","665","2250","4788","9","","9"
"45","0","ACAO","666","2250","5184","10","","9"
"45","0","ACAO","667","2250","5580","11","","9"
"45","0","ACAO","668","3050","140","12","","9"
"45","0","ACAO","669","1296","1505","-1","","9"
"45","0","ACAO","682","650","60","-1","","9"
"45","0","ACAO","714","1126","116","13","","9"
"45","0","ACAO","715","1176","671","14","","9"
"45","0","ACAO","716","982","1720","0","","9"
"45","0","ACAO","717","650","1176","1","","9"
"45","0","ACAO","785","650","140","2","","9"
"45","0","ACAO","940027","1020","3157","-1","","9"
"45","0","RES","2846","1150","497","-1","","9"
"45","0","RES","2849","1150","5731","-1","","9"
"45","0","RES","2885","70","60","-1","","1"
"45","0","RES","2886","70","158","-1","","1"
"45","0","RES","2887","70","215","-1","","1"
"45","0","RES","2888","70","272","-1","","1"
"45","0","RES","2889","70","329","-1","","1"
"45","0","RES","2890","70","386","-1","","1"
"45","0","RES","2891","1950","10","-1","","9"
"45","0","RES","2900","70","443","-1","","1"
"45","0","RES","2977","1950","10","-1","","9"
"45","0","RES","2978","350","2283","-1","","9"
"45","0","RES","2979","350","1569","-1","","9"
"45","0","RES","3012","70","60","-1","","9"
"45","0","RES:Com Assembly - Arara","2864","1950","70","-1","","9"
"45","0","RES:Com Assembly - Barre","2864","1950","135","-1","","9"
"45","0","RES:Com Assembly - Bebed","2864","1950","200","-1","","9"
"45","0","RES:Com Assembly - Catan","2864","1950","70","-1","","9"
"45","0","RES:Com Assembly - Franc","2864","1950","265","-1","","9"
"45","0","RES:Com Assembly - Guaír","2864","1950","330","-1","","9"
"45","0","RES:Com Assembly - Itápo","2864","1950","395","-1","","9"
"45","0","RES:Com Assembly - Ituve","2864","1950","460","-1","","9"
"45","0","RES:Com Assembly - Jales","2864","1950","135","-1","","9"
"45","0","RES:Com Assembly - Maril","2864","1950","330","-1","","9"
"45","0","RES:Com Assembly - Monte","2864","1950","525","-1","","9"
"45","0","RES:Com Assembly - Orlân","2864","1950","590","-1","","9"
"45","0","RES:Com Assembly - Ribei","2864","1950","655","-1","","9"
"45","0","RES:Com Assembly - Sjrp","2864","1950","10","-1","","9"
"45","0","RES:Com Assembly - Tupã","2864","1950","265","-1","","9"
"45","0","RES:Com Assembly - Votup","2864","1950","200","-1","","9"
"46","0","ACAO","654","1300","4276","-1","","9"
"46","0","ACAO","670","650","1130","8","","9"
"46","0","ACAO","671","650","2754","9","","9"
"46","0","ACAO","672","1450","1130","3","","9"
"46","0","ACAO","673","650","3506","10","","9"
