"SeqDocTp","DocTp","Descr","QtdDiaProcEncer","QtdDiaValidade","ExigArq","ExigAutent","ExigDtaBase","ExigValidade","Formato","VincPessoa","VincProcesso","VincPropriedade","VincProjeto","UmPorPessoa","UmPorProcesso","UmPorPropriedade","UmPorProjeto","TamanhoMax","TrocaPropriedade","REFPESSOA","VINCOS","UMPOROS","EXTENSOES"
"89","AVALIACAO_SMNV","AVALIAÇÃO SEMINOVOS","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"90","PLAN_CUSTO_SMNV","PLANILHA DE CUSTO SEMINOVOS","","","0","1","0","0","DIG","1","1","0","0","0","0","0","0","","","","0","0",""
"91","DECL_ONUS_SMNV","DECLARAÇÃO DE ÔNUS SEMINOVOS","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"92","CERT_ONUS_SMNV","CERTIDÃO NEGATIVA DE ÔNUS SEMINOVOS","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"93","NFO_DPNF_SMNV","NF ORIGEM/DECLARAÇÃO PERDA NF SEMINOVOS","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"94","PED_COMPRA_VD","PEDIDO DE COMPRA VENDA DIRETA","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"95","PLAN_VENDA_VD","PLANILHA DE VENDA DIRETA","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"96","JD_QUOTE","JD_QUOTE","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"97","OPERATION CENTE","Operation Center","","","0","1","0","0","DIG","1","1","1","0","0","0","0","0","","N","","0","0",""
"98","AGRONOMY ANALYZ","Agronomy Analyzer","","","0","1","0","0","DIG","1","1","1","0","0","0","0","0","","N","","0","0",""
"99","VENDA DIRETA","CONTRATO VENDA DIRETA","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"100","COMP DE PAGTO","Comprovante de Pagamento","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"101","EMAIL APROV CRE","E-mail de Aprovação Crédito","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","N","","0","0",""
"102","PLANILHA CUSTO","PLANILHA CUSTO GRANDES CONTAS","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"103","PEDIDO_GC","PLANILHA PEDIDO GRANDES CONTAS","","","0","0","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"104","CSC_CHASSI","Comprovante da Procedência","","","0","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"105","ATIVACAO_LICENÇ","Ativação Licença","","","0","0","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"106","LICENÇA_ATIVADA","Licença Ativada","","","0","0","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"107","COMUNICADO_ATIV","Comunicado Ativação","","","0","0","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"108","FORM ENTREGA","FORM ENTREGA","","","1","1","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"109","FOTO_DEMO_PDF","FOTO_DEMO_PDF","","","0","0","0","0","DIG","0","1","0","0","0","0","0","0","","","","0","0",""
"110","AUTO_SEMI_NOVOS","Autorização departamento Semi Novos","","","0","0","0","0","DIG","0","1","0","0","0","0","0","0","800","N","","0","0",""
