Origem,Pasta,Arquivo,Extensao,TamanhoBytes,ModificadoUtc,Sha256,TipoDetectado,PeArquitetura,PeSubsystem,PeTimestampUtc,FileVersion,ProductVersion,CompanyName,ProductName,FileDescription,Copyright,AssemblyNome,AssemblyVersao,TargetFramework,TiposPublicos,QtdReferencias,Referencias,Observacao
ECS-ST-TSPLUS:TDBin,<raiz>,Toast73.dll,.dll,33784,2021-01-21 19:28:42,d5d5268fde543a913e3dad3fe6e9e7aaf54172300326ef4112a05804d3879d9a,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:00:04,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Team Developer,Toast Notification API,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,ToastsMgr.exe,.exe,30720,2021-01-21 19:06:20,8c84ff7bb4bcbdf5395820cf071549d27dc4b114c09259342b5be3e45dd9a565,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:06:18,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Team Developer,COM Server for Toasts,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,TUTORIAL.ORA,.ORA,80394,2020-12-30 08:10:14,cf116ec6b54cd9d1c09fd32c67a3436b337ba4724592b143aad1683c41e3704c,configuracao,,,,,,,,,,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,UfcChart73.dll,.dll,78328,2021-01-21 19:28:42,5b61b35b238803d1bbe99714b2ff1694f3461bf2002936a1d0f9bf8275645a95,.NET,I386,WindowsGui,2021-01-22 00:22:46,"7.3.4, Build 64934",7.3.4,Open Text Corporation,UfcChart Dynamic Link Library,UfcChart Dynamic Link Library,Copyright © 2021 Open Text. All Rights Reserved.,UfcChart73,7.3.4.64934,".NETFramework,Version=v4.6",0,7,Gupta.TD.GraphicsServer 7.3.4.0 | mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.Xml 4.0.0.0 | WindowsBase 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,vaSqlTalk_temp.sql,.sql,25,2023-06-05 22:50:11,909fc364eab03e0b6e106f3b0fc8017225bbfd37dd1852a9d163193730786dc2,script SQL,,,,,,,,,,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,vcruntime140.dll,.dll,83952,2020-12-30 08:16:48,0b08756920415c5f087e65c85da1fbc7a1fafc0d91038e0425cd339c0d903910,nativo (PE sem CLI header),I386,WindowsCui,2020-03-20 11:52:55,14.26.28720.3 built by: vcwrkspc,14.26.28720.3,Microsoft Corporation,Microsoft® Visual Studio®,Microsoft® C Runtime Library,© Microsoft Corporation. All rights reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,VIEW7.ORA,.ORA,9340,2020-12-30 08:10:14,a7698c66c8fbf235f894d631a699df7ed792b5a6edcc6c3d2dd10f672f7e1df7,configuracao,,,,,,,,,,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,view8.ora,.ora,9113,2020-12-30 08:10:14,089f277623d7e755b6dbb3dbf2d58b0d1803b24030dd600d8c938c7365bcb9f8,configuracao,,,,,,,,,,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,VIEWFAST.ORA,.ORA,5803,2020-12-30 08:10:14,e074893d753a4fb637b7581b8aeb6aa67cea3c81b8d024e5c4798b7c8f61856e,configuracao,,,,,,,,,,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,VIEWSLOW.ORA,.ORA,4854,2020-12-30 08:10:14,b8dd4a026dff97eb0bacd36fca699c77388bdedba441af2f5d1185d04d0a9d22,configuracao,,,,,,,,,,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,vSqlTalk_7.exe,.exe,4474338,2023-04-28 17:15:17,0b324a9c8a9875861bde19fbd96f126e46382f6c8e6e5dfd8dfa46e1fa20d130,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:04:40,,,,,,,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,vti21.dll,.dll,495616,2001-10-23 15:34:30,a33b9f4d3c51856bb4d0228a4f67580e5842a5e2e7d26c7ba6fc981c27df218e,nativo (PE sem CLI header),I386,WindowsGui,2001-10-23 20:34:28,"2.1, Build 12987",2.1,Centura Software Corporation,Centura Team Developer,Visual Toolchest Library,Copyright © 2001 Centura Software Corporation,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,vti73.dll,.dll,654840,2021-01-21 19:28:42,95032a269e810538db6c787ab6da9249bcd9df89537c009d11fc14bfc837fb90,nativo (PE sem CLI header),I386,WindowsGui,2021-01-22 00:04:46,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Team Developer,Visual Toolchest Library,Copyright © 2021 Open Text. All Rights Reserved.,,,,,,,
ECS-ST-TSPLUS:TDBin,<raiz>,WPFCustom73.dll,.dll,62456,2021-01-21 19:28:42,f4ca1d439cbd6fb1423ab9ee7b08fb895dc08139adc227807859dd90f911c234,.NET,I386,WindowsGui,2021-01-22 00:23:02,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Wrapper code for WPF Custom Contol,Win32 wrapper class for WPF Custom Control,Copyright © 2021 Open Text. All Rights Reserved.,WPFCustom73,7.3.4.64934,".NETFramework,Version=v4.6",2,7,Gupta.TD.Runtime.Wpf.Emulation 7.3.4.0 | mscorlib 4.0.0.0 | PresentationCore 4.0.0.0 | PresentationFramework 4.0.0.0 | System 4.0.0.0 | System.Xml 4.0.0.0 | WindowsBase 4.0.0.0,
ECS-ST-TSPLUS:TDBin,<raiz>,XlsIO.dll,.dll,65528,2021-01-21 19:28:46,db8e7b572b6dfbb2177751d5c95e12169d413734aae2d494cc1c59fe42eae9f2,.NET,I386,WindowsGui,2021-01-21 23:59:56,"7.3.4, Build 64934",7.3.4,Open Text Corporation,Syncfusion XlsIO wrapper,Syncfusion XlsIO wrapper,Copyright © 2021 Open Text. All Rights Reserved.,XlsIO,7.3.4.64934,".NETFramework,Version=v4.6",2,6,mscorlib 4.0.0.0 | Syncfusion.Compression.Base 14.1450.0.41 | Syncfusion.XlsIO.Base 14.1450.0.41 | System 4.0.0.0 | System.Data 4.0.0.0 | System.Xml 4.0.0.0,
